"Plot","Density","Block","Per.Litt","Per.Bare","Per.Woody","Soil.P","Soil.Water","Canopy.Cover","Class.Canopy","evenness","diversity","total.density"
49,30,3,3.1,3.1,3.1,15.7,19.1362916006,24.1,3,0.777164692214482,16,280
50,60,3,0.5,10.5,10.5,14.8,15.6983930779,10.9,2,0.779136432952963,16,160
51,60,3,3.1,0.5,23,23.5,17.7341873499,15.8,2,0.680811217013569,15,158
52,60,3,0.5,10.5,3.1,15.9,17.4089068826,12.6,2,0.65664679542089,10,143
53,30,3,0.5,3.1,0.5,15.1,18.2432432432,9.8,2,0.649527735614279,7,136
54,100,3,0.5,10.5,40.5,17,15.8646003263,10.4,2,0.62628473952119,13,235
55,30,3,0.5,3.1,23,14.3,16.2905211325,17.7,2,0.791950520508582,12,112
56,100,3,0.5,0.5,23,15.5,16.3390663391,5.6,1,0.417176804853979,13,610
57,30,3,0.5,3.1,3.1,16.6,16.7765869744,15.7,2,0.609363122267534,15,389
58,30,3,0.5,10.5,3.1,12,16.0943318163,15.8,2,0.710525510657817,8,131
59,100,3,3.1,3.1,3.1,9.7,18.2868525896,27.5,3,0.666223847913082,8,276
60,100,3,0.5,10.5,40.5,16,21.3708124759,23.1,3,0.79877228245461,13,298
61,100,4,10.5,10.5,0.5,8.7,15.8646003263,18.4,3,0.799034861355216,10,126
62,30,4,0.5,10.5,0.5,21.1,16.8224299065,6.4,1,0.782557143906574,10,84
63,60,4,23,60.5,3.1,7.9,16.9053301512,22.1,3,0.532484346768809,9,152
64,100,4,0.5,3.1,3.1,19,16.779864163,15,2,0.857606756745528,11,63
65,30,4,3.1,23,0.5,12,20.6441598758,7,1,0.684385669119508,8,153
66,60,4,0.5,10.5,23,14.9,17.1656686627,32.1,3,0.744778995869767,14,190
67,30,4,0.5,10.5,0.5,12.4,15.763546798,1.5,1,0.607335289947093,12,250
68,100,4,3.1,10.5,23,11.3,18.1417701241,1.3,1,0.690239175857613,7,282
69,100,4,3.1,40.5,3.1,11.3,19.7028928851,0.7,1,0.246136440798955,6,603
70,100,4,0.5,40.5,0.5,17.2,20.9094442285,19.5,3,0.293970406670821,3,65
71,100,4,0.5,85.5,10.5,23.1,24.9633967789,39.8,3,0.720840686192603,7,61
72,60,4,10.5,40.5,0.5,4.1,17.1729445119,18.3,3,0.833409089524186,12,175
73,100,4,23,3.1,23,13.7,16.0924199433,18.5,3,0.781145500512219,15,174
74,60,4,0.5,23,3.1,11.3,16.7335473515,7.5,1,0.584757674010272,13,157
75,30,4,3.1,3.1,23,11,15.2200740436,2.4,1,0.522922533041115,12,274
76,100,4,0.5,23,0.5,13,19.0513833992,7,1,0.723739755409661,11,111
77,60,4,3.1,60.5,10.5,20.9,21.8964204113,33,3,0.664230635728424,12,150
78,30,4,10.5,40.5,3.1,49.2,17.6868044515,24.6,3,0.853899028208684,14,73
79,30,4,0.5,23,0.5,12.5,18.3333333333,4.7,1,0.760023931639259,15,151
80,60,4,0.5,3.1,3.1,10.7,18.4645669291,2.3,1,0.733416396726567,10,192
81,100,5,0.5,23,10.5,14,16.2305805397,7,1,0.465121196453415,10,166
82,100,5,0.5,40.5,10.5,14.6,16.862586137,7.8,1,0.743249745830869,12,104
83,100,5,3.1,10.5,0.5,10.9,18.8805675995,2.7,1,0.714509909539068,15,258
84,100,5,3.1,10.5,0.5,11.6,14.338997099,8.1,2,0.776846360738088,10,424
85,30,5,0.5,10.5,0.5,13.7,17.1393841167,7.3,1,0.707176007217382,10,343
86,100,5,0.5,0.5,3.1,11.4,17.4367215749,2.8,1,0.73837618584485,11,306
87,100,5,3.1,60.5,23,7.2,14.4633236635,13,2,0.486248663086352,6,269
88,60,5,0.5,10.5,10.5,14.5,17.7037334404,2.6,1,0.744313885603664,14,244
89,100,5,10.5,3.1,3.1,10.9,15.1239669421,3.1,1,0.756657320403917,12,267
90,100,5,0.5,40.5,3.1,8.3,18.737514982,4.9,1,0.800072904644389,14,200
91,100,5,3.1,23,0.5,14.3,13.0634390651,5.7,1,0.514980556159206,6,296
92,60,5,0.5,10.5,10.5,15.9,18.31267493,23,3,0.747261126425798,15,163
93,30,5,0.5,23,23,12.7,17.4768983528,12.4,2,0.823559951073218,20,154
94,100,5,23,10.5,23,9.3,16.6462167689,14.8,2,0.660456175332309,11,343
95,60,5,0.5,10.5,0.5,12.1,13.967185528,20.2,3,0.848981261101719,10,146
96,100,5,0.5,10.5,3.1,10.2,15.8436213992,11.4,2,0.745605820685585,9,449
97,100,5,3.1,3.1,23,15.2,18.1202708084,9.7,2,0.514424191435894,9,517
98,30,5,0.5,23,40.5,13.6,14.3570536829,26.6,3,0.815250962090512,13,208
99,30,5,23,3.1,10.5,9.6,15.457936179,21,3,0.634153236788431,14,204
100,60,5,0.5,85.5,10.5,11.6,18.2178217822,27.1,3,0.447738178919437,8,60
